market_cap,circulating_market_cap,anon_1,anon_2,net_profit_to_total_revenue,inc_revenue_year_on_year,development_expenditure,pe_ratio,pb_ratio,inc_net_profit_year_on_year,dividend_payable,roe,roa,anon_3,gross_profit_margin,anon_4,pcf_ratio,ps_ratio,monthreturn
18105.4375,13696.3008,1621259976704.0,1.08198378,41.1,11.39,0.0,6.5402,1.1482,1.36,0.0,4.73,0.35,0.99350637,0.0,0.00792746,7.0252,2.6727,1.047244094488189
2408.6414,2054.2146,188068921344.0,1.07016256,37.6,24.1,0.0,8.2845,1.2843,2.35,0.0,4.56,0.3,0.99963701,0.0,0.00450019,6.3932,2.9071,1.1627906088469626
16075.7061,616.8722,1316262772736.0,1.08145373,41.34,10.19,0.0,7.0183,1.2309999999999999,1.83,0.0,5.26,0.39,0.99259917,0.0,0.00849776,-12.8699,2.7457,1.0730948732634518
13070.8184,9357.9893,1272041177088.0,1.08625667,39.34,1.17,0.0,7.6856,1.159,1.21,0.0,3.87,0.31,0.9962856,0.0,0.01053448,-8.6843,2.8556,1.1171171041592927
3438.8684,2345.0295,278749249536.0,1.06714477,33.64,10.71,0.0,8.4051,1.2698,1.52,0.0,4.12,0.26,1.0005466,0.0,0.00331293,121.3433,2.6885,1.0993197646062873
2282.6941,1965.3751,130948923392.0,1.06370629,21.9,26.35,0.0,11.5276,1.7701,16.21,0.0,3.19,0.19,1.00532495,0.0,0.00174346,97.0533,3.1096,0.9684567021047629
630.4667,557.2682,32730677248.0,1.0647889,39.56,20.25,0.0,11.2043,1.8494,12.27,0.0,4.84,0.28,1.00478721,0.0,0.00611542,5.5343,4.1054,0.9432989878767587
3350.1636,2680.1309,263285112832.0,1.06694871,36.5,21.32,0.0,7.1241,1.3662,8.92,12000000.0,4.98,0.3,0.99047682,0.0,0.00251244,-4.3322,2.7197,0.9342984026212928
1502.2134,1094.4728,96902053888.0,1.05743399,31.33,29.43,0.0,8.5582,1.5605,18.18,0.0,4.8,0.25,0.99667723,0.0,0.00496331,-37.7915,2.852,0.8784825112064637
3614.7595,2882.5735,247755964416.0,1.06576347,22.89,18.86,0.0,8.1147,1.5053,-11.29,0.0,3.28,0.21,0.98783985,0.0,0.0083123,-14.5352,2.6683,0.9640166102336822
4506.7866,3686.3923,315060387840.0,1.07133278,24.81,16.43,0.0,8.0606,1.4334,-17.31,0.0,3.28,0.21,0.98744155,0.0,0.00560122,3.7086,2.7172,0.9602685869350902
491.3584,491.3584,30976835584.0,1.06011297,31.81,58.03,0.0,9.3805,1.6024,27.43,0.0,4.32,0.25,0.98975844,0.0,0.00593307,-421.9131,3.438,1.0102719318525948
3819.9934,3244.0132,236916047872.0,1.06303203,40.96,17.15,0.0,8.109,1.5593,11.58,0.0,5.62,0.32,0.99204942,0.0,0.00187507,2.9524,3.0601,0.8927681393376229
1329.5281,1329.5281,92082012160.0,1.06584007,39.13,28.8,0.0,8.8415,1.4475,16.54,0.0,4.18,0.25,1.00426798,0.0,0.00365276,-72.0343,3.7671,1.0397140910372635
12666.9707,11082.3779,1032618770432.0,1.06911063,21.28,14.03,0.0,7.0583,1.278,-4.15,0.0,2.72,0.17,0.99199684,0.0,0.00970005,-16.7646,2.4319,0.9384615376113564
5198.3911,2289.6338,473605079040.0,1.08173082,33.96,5.02,0.0,7.8943,1.1036,5.29,0.0,3.09,0.23,0.96711698,0.0,0.00897006,7.4017,2.9303,0.9457142230025748
19352.8594,14639.9434,1537302593536.0,1.08060247,32.55,15.29,0.0,7.0167,1.2933,-3.08,0.0,3.74,0.27,0.98263851,0.0,0.00831802,52.5008,2.9372,0.9355432768761809
2544.0107,2169.6646,179483181056.0,1.07017841,27.01,24.57,0.0,8.808,1.4214,10.11,0.0,3.16,0.21,0.99035162,0.0,0.00476542,-13.5176,3.2395,0.9467890209738505
17600.7734,675.3935,1252363599872.0,1.08084059,26.56,7.78,0.0,7.7254,1.4169,-1.81,0.0,3.08,0.22,0.99231242,0.0,0.00905434,-20.218,3.0853,0.9133522564411858
13865.665,9927.0557,1183428116480.0,1.08412226,36.73,7.95,0.0,8.1758,1.2969,5.14,0.0,3.58,0.26,0.9964436,0.0,0.01129058,-574.1476,3.0385,0.9426751908401075
3710.2351,2530.0796,267345985536.0,1.06905544,26.75,14.87,0.0,9.1178,1.4288,1.45,0.0,3.3,0.21,0.99189969,0.0,0.00356092,12.9133,2.9749,0.9268599717575848
1712.5917,1474.5232,130948923392.0,1.06370629,21.9,26.35,0.0,8.6486,1.3078,16.21,0.0,3.19,0.19,1.00532495,0.0,0.00174346,72.8143,2.333,1.3328886856102364
571.3198,504.9884,32730677248.0,1.0647889,39.56,20.25,0.0,10.1532,1.6759,12.27,0.0,4.84,0.28,1.00478721,0.0,0.00611542,5.0151,3.7203,1.1035267813228247
2852.1157,2281.6926,234498818048.0,1.06300102,40.03,18.38,0.0,6.0658,1.1631,17.1,12000000.0,5.4,0.31,0.99669369,0.0,0.00244374,-9.3709,2.3207,1.1746240168307338
1102.3949,803.1756,96902053888.0,1.05743399,31.33,29.43,0.0,6.2804,1.1452,18.18,0.0,4.8,0.25,0.99667723,0.0,0.00496331,-27.7332,2.0929,1.3626817395472348
3193.7175,2546.8147,240803119104.0,1.06824445,32.6,25.65,0.0,7.1695,1.3299,6.82,0.0,4.92,0.31,0.9921081,0.0,0.00776661,-4.2028,2.3575,1.1318344531098947
