,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
712,601888.SH,20200714,188.84,196.97,188.81,190.0,194.67,-4.67,-2.3989,229319.36,4382942.07
713,601888.SH,20200713,206.0,208.0,187.0,194.67,203.49,-8.82,-4.3344,320541.75,6225333.122
714,601888.SH,20200710,191.4,212.94,187.52,203.49,193.79,9.7,5.0054,316847.65,6356391.281
715,601888.SH,20200709,191.0,196.86,187.0,193.79,195.86,-2.07,-1.0569,271546.0,5219135.837
716,601888.SH,20200708,185.0,199.4,182.08,195.86,192.4,3.46,1.7983,414107.75,7796627.396
717,601888.SH,20200707,214.0,218.88,187.02,192.4,201.03,-8.63,-4.2929,460523.31,9194448.462
718,601888.SH,20200706,188.23,201.03,182.0,201.03,182.75,18.28,10.0027,182999.97,3567655.257
719,601888.SH,20200703,166.0,182.75,165.5,182.75,166.14,16.61,9.9976,233983.63,4101604.994
720,601888.SH,20200702,166.0,173.19,162.0,166.14,167.28,-1.14,-0.6815,239325.6,3992653.456
721,601888.SH,20200701,158.15,168.18,154.9,167.28,154.03,13.25,8.6022,290700.88,4701863.807
